state,city,geography,subgeography,subject_race,search_rate,stop_rate,hit_rate,inferred_threshold,stops_per_year,stop_rate_n
CA,Statewide,CA,Alpine County,white,NA,0.1297605993604544,NA,NA,10181.818181818182,1917549.4545454546
CA,Statewide,CA,Alpine County,black,NA,0.16870111598440934,NA,NA,248.1818181818182,364640.5454545454
CA,Statewide,CA,Alpine County,hispanic,NA,0.09737632222919389,NA,NA,1205.2727272727273,1470953.0909090908
CA,Statewide,CA,Amador County,white,NA,0.1297605993604544,NA,NA,9490.727272727272,1917549.4545454546
CA,Statewide,CA,Amador County,black,NA,0.16870111598440934,NA,NA,311.45454545454544,364640.5454545454
CA,Statewide,CA,Amador County,hispanic,NA,0.09737632222919389,NA,NA,1160,1470953.0909090908
CA,Statewide,CA,Butte County,white,NA,0.1297605993604544,NA,NA,24634.36363636364,1917549.4545454546
CA,Statewide,CA,Butte County,black,NA,0.16870111598440934,NA,NA,944.3636363636365,364640.5454545454
CA,Statewide,CA,Butte County,hispanic,NA,0.09737632222919389,NA,NA,3439.2727272727275,1470953.0909090908
CA,Statewide,CA,Calaveras County,white,NA,0.1297605993604544,NA,NA,10702.545454545454,1917549.4545454546
CA,Statewide,CA,Calaveras County,black,NA,0.16870111598440934,NA,NA,192,364640.5454545454
CA,Statewide,CA,Calaveras County,hispanic,NA,0.09737632222919389,NA,NA,892.3636363636363,1470953.0909090908
CA,Statewide,CA,Colusa County,white,NA,0.1297605993604544,NA,NA,9622,1917549.4545454546
CA,Statewide,CA,Colusa County,black,NA,0.16870111598440934,NA,NA,613.2727272727273,364640.5454545454
CA,Statewide,CA,Colusa County,hispanic,NA,0.09737632222919389,NA,NA,3010.3636363636365,1470953.0909090908
CA,Statewide,CA,Contra Costa County,white,NA,0.1297605993604544,NA,NA,23949.272727272728,1917549.4545454546
CA,Statewide,CA,Contra Costa County,black,NA,0.16870111598440934,NA,NA,10583.090909090908,364640.5454545454
CA,Statewide,CA,Contra Costa County,hispanic,NA,0.09737632222919389,NA,NA,10845.090909090908,1470953.0909090908
CA,Statewide,CA,Del Norte County,white,NA,0.1297605993604544,NA,NA,8502,1917549.4545454546
CA,Statewide,CA,Del Norte County,black,NA,0.16870111598440934,NA,NA,106.18181818181817,364640.5454545454
CA,Statewide,CA,Del Norte County,hispanic,NA,0.09737632222919389,NA,NA,604.7272727272727,1470953.0909090908
CA,Statewide,CA,El Dorado County,white,NA,0.1297605993604544,NA,NA,19045.636363636364,1917549.4545454546
CA,Statewide,CA,El Dorado County,black,NA,0.16870111598440934,NA,NA,504.1818181818182,364640.5454545454
CA,Statewide,CA,El Dorado County,hispanic,NA,0.09737632222919389,NA,NA,1564,1470953.0909090908
CA,Statewide,CA,Frenso County,white,NA,0.1297605993604544,NA,NA,12385.090909090908,1917549.4545454546
CA,Statewide,CA,Frenso County,black,NA,0.16870111598440934,NA,NA,1930.5454545454545,364640.5454545454
CA,Statewide,CA,Frenso County,hispanic,NA,0.09737632222919389,NA,NA,11375.818181818182,1470953.0909090908
